item,palavra,script
p00001,aberta,1
p00002,aberto,2
p00003,abertura,3
p00004,abranger,1
p00005,acompanhamento,2
p00006,acompanhante,3
p00007,acordar,1
p00008,acreditar,2
p00009,afeminar,3
p00010,alfaiataria,1
p00011,algodão,2
p00012,almoçar,3
p00013,alto,1
p00014,amamentar,2
p00015,amar,3
p00016,amarrações,1
p00017,amarrar,2
p00018,ambiente,3
p00019,amigo,1
p00020,angelical,2
p00021,anoitecer,3
p00022,antiga,1
p00023,apresentar,2
p00024,aquático,3
p00025,arma,1
p00026,armadura,2
p00027,armamentista,3
p00028,armamento,1
p00029,armazém,2
p00030,assobiar,3
p00031,associar,1
p00032,assustar,2
p00033,bainha,3
p00034,bala,1
p00035,banco,2
p00036,barba,3
p00037,batalha,1
p00038,bater,2
p00039,bateria,3
p00040,beber,1
p00041,beijar,2
p00042,belo,3
p00043,bilionário,1
p00044,binarismo,2
p00045,bissexual,3
p00046,bissexualidade,1
p00047,blazer,2
p00048,bloco,3
p00049,bojo,1
p00050,bolsa,2
p00051,bom,3
p00052,bomba,1
p00053,bombeiro,2
p00054,bonito,3
p00055,bordado,1
p00056,bota,2
p00057,botão,3
p00058,braguilha,1
p00059,brasileiro,2
p00060,brilhante,3
p00061,brilho,1
p00062,brincar,2
p00063,brincos,3
p00064,bruto,1
p00065,cabide,2
p00066,caimento,3
p00067,cair,1
p00068,calça,2
p00069,calor,3
p00070,camisola,1
p00071,camurça,2
p00072,canal,3
p00073,cardápio,1
p00074,carnaval,2
p00075,caro,3
p00076,carro,1
p00077,carta,2
p00078,carteira,3
p00079,casa,1
p00080,casar,2
p00081,cerâmica,3
p00082,cetim,1
p00083,chapéu,2
p00084,chinelo,3
p00085,chupar,1
p00086,cidade,2
p00087,cintilação,3
p00088,cintilante,1
p00089,cintura,2
p00090,cisgênero,3
p00091,cisheteronormativo,1
p00092,cobrir,2
p00093,coisa,3
p00094,colar,1
p00095,colarinho,2
p00096,coleção,3
p00097,comentar,1
p00098,completar,2
p00099,comum,3
p00100,comunidade,1
p00101,concordar,2
p00102,confiar,3
p00103,conta,1
p00104,contato,2
p00105,controverso,3
p00106,convênio,1
p00107,conversar,2
p00108,coordenação,3
p00109,coreano,1
p00110,corpete,2
p00111,corpo,3
p00112,corporeidade,1
p00113,corte,2
p00114,costura,3
p00115,costurar,1
p00116,cotidiano,2
p00117,criança,3
p00118,cruel,1
p00119,débito,2
p00120,decote,3
p00121,deficiente,1
p00122,delineador,2
p00123,derrubar,3
p00124,desculpa,1
p00125,desembargador,2
p00126,desesperado,3
p00127,desfile,1
p00128,desocupar,2
p00129,despedir,3
p00130,despertar,1
p00131,destruição,2
p00132,detalhar,3
p00133,dever,1
p00134,dia,2
p00135,didático,3
p00136,diferente,1
p00137,dinheiro,2
p00138,dizer,3
p00139,doente,1
p00140,dormir,2
p00141,drag,3
p00142,drag king,1
p00143,drag queen,2
p00144,duplo,3
p00145,duro,1
p00146,ejacular,2
p00147,elástico,3
p00148,ele,1
p00149,elegante,2
p00150,eles,3
p00151,elu,1
p00152,elus,2
p00153,empatar,3
p00154,empresa,1
p00155,encantar,2
p00156,encher,3
p00157,equipamento,1
p00158,escandaloso,2
p00159,escola,3
p00160,escolar,1
p00161,escravizado,2
p00162,espada,3
p00163,espartilho,1
p00164,específico,2
p00165,estado,3
p00166,estampa,1
p00167,estético,2
p00168,estilo,3
p00169,estranho,1
p00170,estúdio,2
p00171,ética,3
p00172,eu,1
p00173,evoluir,2
p00174,exagerar,3
p00175,explodir,1
p00176,faca,2
p00177,fala,3
p00178,falante,1
p00179,falar,2
p00180,falso,3
p00181,famoso,1
p00182,fantasiar,2
p00183,fantasia,3
p00184,fazer,1
p00185,feminilidade,2
p00186,feminino,3
p00187,feminismo,1
p00188,ficar,2
p00189,figurino,3
p00190,filha,1
p00191,filho,2
p00192,filó,3
p00193,filosófico,1
p00194,firme,2
p00195,fita,3
p00196,fivela,1
p00197,floral,2
p00198,forma,3
p00199,forte,1
p00200,fraco,2
p00201,fresco,3
p00202,fritar,1
p00203,fuzil,2
p00204,garota,3
p00205,garoto,1
p00206,gay,2
p00207,gênero,3
p00208,gente,1
p00209,gestar,2
p00210,gostar,3
p00211,graça,1
p00212,grande,2
p00213,grito,3
p00214,grudar,1
p00215,grupo,2
p00216,herói,3
p00217,heterossexual,1
p00218,história,2
p00219,homem,3
p00220,hora,1
p00221,hormônio,2
p00222,hormonioterapia,3
p00223,hormonização,1
p00224,humilde,2
p00225,identidade,3
p00226,identificar,1
p00227,ideologia,2
p00228,imenso,3
p00229,importante,1
p00230,imprimir,2
p00231,incapaz,3
p00232,indígena,1
p00233,infeliz,2
p00234,informal,3
p00235,inglês,1
p00236,inimigo,2
p00237,inseparável,3
p00238,instalar,1
p00239,interessar,2
p00240,intimidade,3
p00241,ir,1
p00242,jantar,2
p00243,japonês,3
p00244,jeans,1
p00245,jogo,2
p00246,lã,3
p00247,lago,1
p00248,lanchar,2
p00249,largo,3
p00250,latão,1
p00251,lenço,2
p00252,ler,3
p00253,lésbica,1
p00254,líder,2
p00255,limitação,3
p00256,lindo,1
p00257,lingerie,2
p00258,linho,3
p00259,listras,1
p00260,litro,2
p00261,livro,3
p00262,local,1
p00263,lotado,2
p00264,louco,3
p00265,lucro,1
p00266,luvas,2
p00267,machismo,3
p00268,maconha,1
p00269,mãe,2
p00270,maior,3
p00271,malha,1
p00272,manga,2
p00273,mão,3
p00274,maquiagem,1
p00275,mar,2
p00276,máscara,3
p00277,masculinidade,1
p00278,masculinizar,2
p00279,masculino,3
p00280,maternalizar,1
p00281,mau,2
p00282,maximalismo,3
p00283,médico,1
p00284,medida,2
p00285,medo,3
p00286,melhor,1
p00287,menstruar,2
p00288,merecer,3
p00289,mesmo,1
p00290,minimalismo,2
p00291,moda,3
p00292,modelo,1
p00293,moderno,2
p00294,moletinho,3
p00295,moletom,1
p00296,morrer,2
p00297,motivar,3
p00298,mulher,1
p00299,mulherengo,2
p00300,mulheres,3
p00301,munição,1
p00302,músculo,2
p00303,museu,3
p00304,música,1
p00305,nacional,2
p00306,náilon,3
p00307,não-binário,1
p00308,neutro,2
p00309,noite,3
p00310,norma,1
p00311,normatização,2
p00312,nós,3
p00313,novo,1
p00314,obrigado,2
p00315,óculos,3
p00316,olho,1
p00317,ombreira,2
p00318,ombro,3
p00319,ontem,1
p00320,opção,2
p00321,operário,3
p00322,origem,1
p00323,original,2
p00324,ovular,3
p00325,padrão,1
p00326,pagar,2
p00327,pais,3
p00328,palma,1
p00329,pansexualidade,2
p00330,paralelo,3
p00331,parente,1
p00332,parir,2
p00333,parte,3
p00334,passagem,1
p00335,passar,2
p00336,passeio,3
p00337,pé,1
p00338,peladas,2
p00339,pele,3
p00340,pente,1
p00341,penteadeira,2
p00342,penteado,3
p00343,percussão,1
p00344,performatividade,2
p00345,peso,3
p00346,pêssego,1
p00347,pêssegos,2
p00348,pessoa,3
p00349,pigmento,1
p00350,pinça,2
p00351,pistola,3
p00352,planejar,1
p00353,pluma,2
p00354,pobre,3
p00355,poder,1
p00356,polícia,2
p00357,poliéster,3
p00358,pólo,1
p00359,pombo,2
p00360,pompom,3
p00361,ponto,1
p00362,pôquer,2
p00363,pornô,3
p00364,português,1
p00365,positiva,2
p00366,possível,3
p00367,prático,1
p00368,preferência,2
p00369,preocupação,3
p00370,preso,1
p00371,pressa,2
p00372,princesa,3
p00373,professor,1
p00374,profissional,2
p00375,progesterona,3
p00376,prometer,1
p00377,próprio,2
p00378,proteger,3
p00379,prover,1
p00380,próximo,2
p00381,público,3
p00382,querer,1
p00383,razão,2
p00384,recado,3
p00385,receber,1
p00386,reclamar,2
p00387,rede,3
p00388,redesignação,1
p00389,regional,2
p00390,relação,3
p00391,renda,1
p00392,respeito,2
p00393,responsável,3
p00394,restante,1
p00395,revólver,2
p00396,rico,3
p00397,rifle,1
p00398,roca,2
p00399,roncar,3
p00400,rosa,1
p00401,rosto,2
p00402,roupas,3
p00403,saber,1
p00404,saia,2
p00405,samba,3
p00406,sapato,1
p00407,seda,2
p00408,seguro,3
p00409,senhor,1
p00410,sentir,2
p00411,ser,3
p00412,sexualidade,1
p00413,silhueta,2
p00414,silvestre,3
p00415,simetria,1
p00416,só,2
p00417,social,3
p00418,sol,1
p00419,soldado,2
p00420,solitário,3
p00421,somar,1
p00422,submissão,2
p00423,sujo,3
p00424,suportar,1
p00425,surdez,2
p00426,surdo,3
p00427,tactel,1
p00428,tecido,2
p00429,telefonar,3
p00430,temer,1
p00431,tempo,2
p00432,temporário,3
p00433,tendência,1
p00434,terrível,2
p00435,testosterona,3
p00436,time,1
p00437,tinta,2
p00438,topless,3
p00439,trabalho,1
p00440,traçar,2
p00441,tradicional,3
p00442,traduzir,1
p00443,trans,2
p00444,transexual,3
p00445,transexualidade,1
p00446,transgeneridade,2
p00447,transmasculino,3
p00448,transvestir,1
p00449,triste,2
p00450,tropa,3
p00451,tu,1
p00452,último,2
p00453,ultrajante,3
p00454,união,1
p00455,unicórnios,2
p00456,vago,3
p00457,velho,1
p00458,veludo,2
p00459,ver,3
p00460,vergonha,1
p00461,vermelho,2
p00462,vestido,3
p00463,vestir,1
p00464,vez,2
p00465,vida,3
p00466,violeta,1
p00467,vir,2
p00468,virilizar,3
p00469,visão,1
p00470,visitar,2
p00471,visto,3
p00472,vós,1
p00473,xadrez,2